Unit name,Time From,Time To,Heat Demand,Produced heat,Electricity Price,Electricity usage,Expenses,Primary energy,CO2
GB,07/14/2023 13:00:00,07/14/2023 14:00:00,1.76,1.7599999999999998,523.88,0,880,0.3872,75.67999999999999
EK,07/14/2023 13:00:00,07/14/2023 14:00:00,2.220446049250313E-16,2.220446049250313E-16,523.88,2.220446049250313E-16,1.2742695787437697E-13,0,0
GB,07/14/2023 14:00:00,07/14/2023 15:00:00,1.63,1.63,563.48,0,815,0.3586,70.08999999999999
GB,07/14/2023 15:00:00,07/14/2023 16:00:00,1.57,1.57,582.75,0,785,0.34540000000000004,67.51
GB,07/14/2023 16:00:00,07/14/2023 17:00:00,1.55,1.55,581.63,0,775,0.341,66.65
GB,07/14/2023 17:00:00,07/14/2023 18:00:00,1.54,1.54,730.95,0,770,0.33880000000000005,66.22
GM,07/14/2023 18:00:00,07/14/2023 19:00:00,1.56,1.56,864.38,-1.1700000000000002,704.6754,0.8233333333333334,277.33333333333337
GM,07/14/2023 19:00:00,07/14/2023 20:00:00,1.56,1.56,1051.43,-1.1700000000000002,485.8268999999998,0.8233333333333334,277.33333333333337
GM,07/14/2023 20:00:00,07/14/2023 21:00:00,1.59,1.59,1049.4,-1.1925000000000001,497.5904999999998,0.8391666666666666,282.66666666666663
GM,07/14/2023 21:00:00,07/14/2023 22:00:00,1.57,1.57,929.4,-1.1775,632.6315,0.8286111111111111,279.1111111111111
GB,07/14/2023 22:00:00,07/14/2023 23:00:00,1.55,1.55,714.38,0,775,0.341,66.65
GB,07/14/2023 23:00:00,07/15/2023 00:00:00,1.62,1.62,607.05,0,810,0.35640000000000005,69.66
GM,02/08/2023 00:00:00,02/08/2023 01:00:00,6.62,3.6,1190.94,-2.7,1368.982899999999,1.9,640
GB,02/08/2023 00:00:00,02/08/2023 01:00:00,3.02,3.02,1190.94,0,1510,0.6644,129.85999999999999
GM,02/08/2023 01:00:00,02/08/2023 02:00:00,6.85,3.6,1154.55,-2.7,1603.4993749999994,1.9,640
GB,02/08/2023 01:00:00,02/08/2023 02:00:00,3.2499999999999996,3.2499999999999996,1154.55,0,1624.9999999999998,0.715,139.74999999999997
GM,02/08/2023 02:00:00,02/08/2023 03:00:00,6.98,3.6,1116.22,-2.7,1834.5883000000003,1.9,640
GB,02/08/2023 02:00:00,02/08/2023 03:00:00,3.3800000000000003,3.3800000000000003,1116.22,0,1690.0000000000002,0.7436000000000001,145.34
GM,02/08/2023 03:00:00,02/08/2023 04:00:00,7.04,3.6,1101.12,-2.7,1930.0864000000001,1.9,640
GB,02/08/2023 03:00:00,02/08/2023 04:00:00,3.44,3.4399999999999995,1101.12,0,1720,0.7568,147.92
OB,02/08/2023 03:00:00,02/08/2023 04:00:00,4.440892098500626E-16,4.440892098500626E-16,1101.12,0,3.1086244689504383E-13,1.3322676295501878E-16,2.942091015256665E-14
GM,02/08/2023 04:00:00,02/08/2023 05:00:00,7.72,3.6,1086.24,-2.7,2202.670399999999,1.9,640
GB,02/08/2023 04:00:00,02/08/2023 05:00:00,4.119999999999999,4.119999999999999,1086.24,0,2059.9999999999995,0.9063999999999999,177.15999999999997
GM,02/08/2023 05:00:00,02/08/2023 06:00:00,7.85,3.6,1109.53,-2.7,2102.6421250000003,1.9,640
GB,02/08/2023 05:00:00,02/08/2023 06:00:00,4.25,4.25,1109.53,0,2125,0.935,182.75
GM,02/08/2023 06:00:00,02/08/2023 07:00:00,8.15,3.6,1307.4,-2.7,973.517499999999,1.9,640
GB,02/08/2023 06:00:00,02/08/2023 07:00:00,4.550000000000001,4.550000000000001,1307.4,0,2275.0000000000005,1.0010000000000003,195.65000000000003
GM,02/08/2023 07:00:00,02/08/2023 08:00:00,7.62,3.6,1463.3,-2.7,19.240499999999884,1.9,640
GB,02/08/2023 07:00:00,02/08/2023 08:00:00,4.02,4.02,1463.3,0,2009.9999999999998,0.8844,172.85999999999999
GM,02/08/2023 08:00:00,02/08/2023 09:00:00,7.55,3.6,1608.78,-2.7,-804.7167500000014,1.9,640
GB,02/08/2023 08:00:00,02/08/2023 09:00:00,3.9499999999999997,3.9499999999999997,1608.78,0,1974.9999999999998,0.869,169.85
GM,02/08/2023 09:00:00,02/08/2023 10:00:00,7.6,3.6,1309.7,-2.7,894.7099999999991,1.9,640
